Company name,Record ID
A & E Homes Inc,26932487578
A.B.L.E. Inc,26928251217
ABH Homes,26921301671
Ability Building Center Inc,26922866959
Above & Beyond Resources Inc,26930335519
Access Of The Red River Valley Inc,26920991822
Accessible Space Inc,26923021974
Accord,26929552739
Achieving Independence Inc,26919598241
ACR Healthcare Services LLC,26922540063
ACR Homes Inc,26925252913
Actively Living Life Inc,26921766039
Acute Home Health Care of MN,26928715265
Adapta,26916351879
Agile Partners - Inc.dbaThe Family Concept,26928405596
Alana S Fiala,26927786578
ALC Homes Inc,26927011988
Aldrich Boarding Care Home LLC,26932707596
Alluma Inc,26929708175
Alongside Services II,26921766040
Alpha Services Company of Rochester,26926857008
Alternatives for People with Autism Inc,26928405592
Amanicare Services,26921146253
AMAS Incorporated,26919907967
AME Community Services Inc,26917521434
American Baptist Homes,26926646812
Anderson Family Homes,LLC,26926857007
Approach Enterprises L.L.C,26923021978
ARCH of Pine City, Inc,26928405591
Arrowhead House Foster Care LLC,26929088086
ARSYS Attn: Kevin Ward,26930490171
Artesian Homes LLC,26926646811
At Home Living Facilities Inc,26918979117
At Home Living Facilities Metro Inc,26920527129
Aveyron Homes, Inc.,26923640996
Axis Alternatives Inc,26929862245
Bailey Homes,26925252911
Barbara Ellen Wokasch AND Michael Duane Wokasch,26924943178
Basem Anwar Alshormani,26932177939
Beacon Specialized Living Minnesota Inc,26921920945
Bear Creek Services Inc.,26922385278
Berget Foster Care,26928870573
Bethesda Lutheran Communities,26920836781
Better Avenues Inc,26927786577
Beyond Homecare Inc,26932177942
Blue Sky Inc,26920836779
Bluewater Residential Services LLC,26933015972
Bridge Gap Inc,26928405593
Bridges 507, LLC,26928715193
Bridget F Seeland,26923795995
Building Hope Inc,26928096257
Bumblebee Haven,26918514533
Camphill Village Minnesota Inc,26925097859
Cardinal of Minnesota Ltd,26925407826
Care Force Homes, Inc,26921766036
Catholic Charities Of The Diocese Of St Cloud,26926336564
CCRI, Inc.,26930180631
Cedar Valley Homes, Inc,26923021976
Cedar Valley Services Inc,26923640998
Cenneidigh Inc,26923641000
Chez Nous,26928251218
Clare Housing, Inc.,26924260138
Clark Lake Homes, Inc.,26919288688
Cobbo Inc,26920062861
Commissioner of Department of Human Services,26919133582
Community Alternative Plans Inc,26924788528
Community Health Awareness Center, Inc.,26930644882
Community Living Alternatives,26919598238
Community Living Options Inc,26926857010
Community Options & Resources,26925872699
Companion Housing Program Inc,26932177937
Companion Linc LLC,26925252915
Comprehensive Services, Inc.,26918049953
Confident Care LLC,26933015968
Connections,26927167133
Connections Inc,26919133583
Country Lane Homes Gull River LLC,26919752989
Country Lane Homes of Central Minnesota Inc,26918204848
Country Lane Homes of Poplar Dr LLC,26919752988
Covenant Enabling Residence,26915410266
Crawford House LLC,26928560148
Creative Care Resources,26923021975
Crows Nest Programs, Inc.,26917740080
Cultural Home Inc,26929243212
Dependable Home Healthcare Inc,26920681886
DeRungs/Bonk AFC Inc,26927167131
Developmental Services Inc,26928560149
Disability Resource Inc,26921301670
Diversified Life Styles, Inc.,26918979121
Divine House Inc,26923331727
Duluth Regional Care Center, Inc.,26918824219
Dungarvin Minnesota LLC,26918669085
Eagles Wing Inc,26915410264
EBI Inc,26927631890
Eighth Street House, LLC,26928560152
ELM: Waseca County SLS, Inc.,26926181952
Emmanuel Tim Boh,26924478617
Empower SLS, Inc.,26924105514
Empowerment Services of Minnesota,26916197417
Enrich Inc.,26920062862
Enriched Living LLC,26917894817
EON Inc,26919598237
Episcopal Group Homes Inc,26925872700
Essential Kare Inc,26922712096
Eveleth Residence LLC,26923950722
Everyday Living,26933015974
Excellent Care Services,26923021977
Expanding Horizons Inc,26924105517
Facing New Horizons (FNH), Inc,26919907963
Family Counseling & Extended Services Inc,26926646810
Family Freedom Corporation,26932861354
Focus On Living,26929708177
Forward Focused Living,26918979119
Fourth Avenue Homes Inc,26926646807
Fraser,26929552737
Gateway Residential Services Inc,26923486801
Gayle Koop Foster Care,26918824217
GDC Health Services,26920062864
Genesis Group Homes, Inc,26918204849
GJ Destiny Adult Foster Home,26933015969
Glendalough of Austin, Inc.,26929088089
Goal Oriented Assisted Living Inc,26917894815
Goodness and Mercy Health Services Inc,26918204846
Grace Lyn Group, Inc. Attn: Nauth Lynn P,26922385280
Grandview Estates,26924633474
Granite Care Inc,26926646809
Granite House, Inc.,26923486800
Great River Homes Inc,26923176620
Griffin Support Services Inc,26918979115
Grove Homes Inc,26919907965
Guided Transitions LLC,26930180635
Habilitative Services LLC,26930025335
Hammer Residences,26922712097
Handy Help LLC,26926491675
Harbor Residential & Community Services Inc (The),26917366667
Harmony Homes of Minnesota, LLC,26922385276
Harry Meyering Center Inc,26926491676
Hauies Homes Inc,26925717623
Have A Heart House Inc,26932487579
Health Providers, Ltd.,26918979120
Heartland Homes Inc,26928096260
Heartland Homes of Duluth LLC,26928870572
Heartstrings Unlimited Inc,26933015971
Helens Homes LLC,26924633473
Hiawatha Homes Inc,26927786579
Hiawatha Manor Inc,26926857009
Home & Community Options Inc,26921766038
Home of Hopes,26918514535
Homebee Adult Fost Care LLC,26928405595
Homeward Bound Inc,26925562472
Hope Haven Inc dba The Achievement Center,26930180633
Hope House Of St. Croix Valley,26929397588
HOPE Inc,26925097856
Horizon Health Inc,26921766037
Horizon Homes Inc,26916506992
Howry Residential Services Inc,26922385279
Hyland House Corporation,26916197418
I CAN LLC,26920527127
ICAN Inc,26920527128
IMD Ramsey Inc.,26925097857
Independent Disability Services, Inc.,26927786575
Independent Management Services,26927631889
Infinite Care,26920991820
Inisfail, Inc.,26919598240
Inspire Services, LLC,26927167132
Integrity Foster Care Services Inc,26924788526
Integrity Living Options,26932177943
Interim Healthcare of Lake Superior Inc,26928560151
Iron Range Empowerment Services,26927011986
J & J Holmes Inc,26928096185
J&K Comfort Home,26932177941
Jannelle Lynne Meade,26929708173
JEC Miller Inc,26927011990
Jodis Adult Foster Care LLC,26928251219
Johnson's Long Lake Home,26925872697
Johnson's Riverside SLS Inc,26916506993
Josh David Smith,26929862246
Journey Of Bemidji Inc,26927786571
Key 360 Support Services, LLC,26917211965
Kiminki Homes Inc,26929552738
Kindred Supports LLC,26916351878
Krushe Residential Services Inc,26922230288
L & M Opportunities Inc,26921146254
Lake George Foster Homes, LLC,26930335522
Lakes Homes Inc,26928405590
Laura Baker Services,26920991823
Laurent Clerc Services, Inc.,26922385277
Laven Home Care,26923176616
Lee Foster Care,26928251222
Legacies LLC,26930644881
Legacy Endeavors Inc,26930180630
Legacy Enterprises dba Legacy house of Caring,26925252914
LEW Inc.,26918824220
Liberty Homes of Woodbury LLC,26920991821
Libra Support Services LLC,26926646808
Life Support Services LLC,26929397590
Lifetime Resources Inc,26921920943
Linnea Residential Home, Inc.,26917894814
LITE (Learning Independence Through Equality), Inc.,26920836780
Living Challenge Inc,26917740078
Living Grace Inc,26920681889
Living Well Disability Services,26917740079
Loesch Supported Living Services Inc,26918669087
LRN Associates Management Services Inc,26926336563
Lutheran Social Service of Minnesota,26919907966
Mains'l Services Inc,26925717620
Mannys Residential Services,26927786570
Maple Leaf Services Inc,26919907964
Marshall County Group Homes Inc,26918979116
Mary T Associates Inc,26919133581
Mary T Inc.,26918824216
McKinnney Homes LLC,26926181951
MDM Rubicon Inc,26919752987
Meridian Services Inc,26932861350
Metro Social Services, Inc.,26918204847
Michelle Renne Wolf Inc,26916902212
Midwest Assisted Living Pitzen Edward,26917057097
MiLissa Soukkala Carlton Co,26932487580
ML Consulting Inc,26919288687
Morin Homes, Inc.,26918514534
Motivate Home Services LLC,26918824218
Mount Olivet Rolling Acres, Inc.,26929025082
MS-AC Mankato AG Senior Living, LLC,26929862243
MTF Inc,26927011989
Multi Community Care and Homes Inc,26932707597
My Brothers Keeper,26923640997
My House SLS,26927941137
Mykkanen Foster & Waivered Services Inc,26928096258
Mystic Meadows Homes Inc,26924943179
New Beginnings Of Starbuck Inc,26929088090
New Beginnings Waivered Services Inc,26924943180
New Challenges Inc,26916506991
New Dawn Inc,26924943176
New Directions Inc,26918824221
New Hope Living, Inc. and Nursing Services,26920372587
New Horizons,26932487582
NEW JOURNEYS,26919752990
New Life Horizons Inc,26925717621
New Transition's, Inc.,26923795993
NHS - Northstar Specialized Services,26926491678
Northeast Residence, Inc.,26927786573
Northland AFC Inc,26920681887
Northland Counseling Center, Inc.,26924105516
Northstar Community Services LLC,26928251215
Northwood Children's Services,26922866960
Northwood Cottage Inc,26925872698
Northwoods Villa,26925252912
NU Horizons of Southern Minnesota,26929088085
Nurturing Hands LLC,26918824222
Oakridge Homes of Aitkin Inc,26928715264
Oakridge Homes SILS Inc,26926857006
Oakridge Support Services Inc,26929862247
Oasis Homes,26927011985
Olu's Home Inc,26917211966
Onward Svs of Montevideo, Inc.,26921301674
Opal Services, Inc.,26933015970
Open Hands, Inc.,26933015973
Opportunity Matters Inc,26932177940
Opportunity Partners Inc,26918204850
Options Residential, Inc.,26928251220
Orion Corporation of Minnesota,26920372589
Our Circle of Friends Homes Inc,26928251221
Our Homes South Inc,26928870574
Our Own Sweet Home Inc,26929397589
Outcomes Inc,26930025334
Paradigm Residential Services, Inc.,26925407825
Paraklatos Inc dba PKT Enterprises,26921301673
Pat LLC (The),26920217884
Pathways to Community,26922075246
Peace of Mind of Duluth Inc,26917057098
People Incorporated,26928251223
Phyxius Inc,26928560150
Pine Ridge Homes, Inc,,26924105518
Pine Ridge Residence,26928096259
Pine River Group Home Inc,26916902214
Pine Street Services, LLC,26932861351
Pinnacle Services Inc,26928405594
Possibilities Plus,26926181953
Prairie Community Services Inc,26916506994
Prairie Home Hospice Inc,26918669084
Preferred Residential Lifestyles Inc,26917057095
Premier Care Home Service,26927476238
Presbyterian Family Foundation,26920681888
Progressive Individual Resources II Inc,26918669086
Progressive Living Inc,26928251216
Progressive Living Solutions,26932332389
Provide Care Inc,26918669088
Quality Care Homes, Inc.,26924788527
Quality Care Servicese Inc,26922075252
R&M Welty Incorporated,26930335521
Range Center Inc,26928096256
Rehoboth II,26925407824
Relieve Care Inc,26916902215
REM Arrowhead, Inc.,26923176618
REM Central Lakes, Inc.,26920372590
REM Heartland, Inc.,26917366666
REM Hennepin, Inc.,26929243214
REM Minnesota Community Services, Inc.,26932861353
REM North Star, Inc.,26918514537
REM Ramsey, Inc.,26920217885
REM River Bluffs, Inc.,26929088087
REM South Central Services, Inc.,26920062863
REM Southwest Services Inc,26923950721
REM Woodvale, Inc.,26922230289
Renville Co Community Residence,26930335518
ResCare Minnesota Inc,26918979118
Residential Advantages LLC,26920372586
Residential Living Solutions,26922075251
Residential Services of NE Minnesota,26929708174
Residential Transitions Incorporated,26923331726
Resolute Care LLC,26923176617
Restart Inc,26925872701
Restoration Services of Minnesota,26932332388
Riesco Inc,26929708176
Rightway Home Care Services, Inc.,26916351877
Rison Homes Minnesota Inc,26927631888
Riverside Montage Home, Inc.,26923640999
Riverview Services Inc,26919752991
Royalty Homes Inc,26917521435
Rudolph Community & Care LLC,26920372591
Rural Living Environments Inc,26923950723
Russell E Hanisch,26922540061
SAFE Harbor Homes Inc,26924105515
Safe Transitions Inc,26930335520
Saint Andrews House,26919443341
Seasons Adult Foster Care LLC,26923486802
Seek Home Inc,26928560153
Share A Home,26926491677
Shiloh Acquisition LLC,26921611361
Sister Group Home,26917211967
Sjostrom Homes,26922385275
SMB Disability Solutions Inc,26923795994
SMC Care, Inc. DBA Empowerment Healthcare,26930180634
Snyder Health Care Systems Inc,26915410265
Sojourn Suites L.L.C.,26932177938
Solid Foundations of Minnesota Inc,26922540062
Solutions Behavioral Healthcare Professionals,26921301672
Sonshine & Hope, Inc,26920836783
South Metro Human Services,26918049954
St Williams Living Center,26924105513
Stable Housing Solutions of MN LLC,26923176619
Stepping Out Inc.,26927786572
Stepping Stones Adult Foster Care LLC,26921920944
Stepping Stones for Living, LLC,26916506995
Stille Havn Hus Inc,26920836782
Success Homes North Inc,26918514536
Success Homes, Inc.,26917057096
Sunny Place Foster Homes LLC,26929708172
Supported Living Solutions,26932861352
Supportive Lifestyles Inc,26917894816
Swift County Homes Inc,26918514532
Synstelien Community Services,26932487581
Tadds Lighthouse Inc,26925717622
Taylor SLS Inc,26930180632
TBI Residential & Community Services Inc,26926857011
The Cottages of Dakota,26917740081
The Cottages of St Cloud,26916902213
The Phoenix Residence Inc.,26922075253
Thelma Rose House Inc,26922075250
Theresa L Olson,26925097858
Thomas Allen, Inc,26925407827
Thrive Bahavioral Network I LLC,26929088088
Thrive Behavioral Network III LLC,26917740077
Thrive Behavioral Network V LLC,26926857012
Thrive Youth Services,26924943177
TL Care Services LLC,26921920946
Tolad Inc,26922075249
Total Living Commitment,26927476239
Trillium Services Inc,26929862244
Trillium Services, Inc.,26919288686
Triumph Homes Inc,26927011987
Tuwei Care Services LLP,26927786574
Unity House Inc,26920372588
Universal Health Services Inc,26930490172
Vanessa A Crist,26928870575
VIKO Health Services,26922075248
Volunteers of America of Minnesota,26926026876
West Central Community Services,26924788529
Wingspan Life Resources,26930490170
Winter Family Care, llc,26927786576
WW Homes Inc,26920372585
Yassins Home Inc,26926181949
Zachary Home Health Corp,26919598239
Zumbro House Inc,26924478616